,Now,Title,View,Coment,Like,Subscriber
81,2020/04/22 02:35:42,[VLOG] ✈️독일 출장 브이로그ㅣ독일 뮌헨ㅣVMD디자이너vlogㅣ해외전시회ㅣ퇴사 전 마지막 출장 이야기,54,1.0,9.0,
82,2020/04/22 02:35:52,"vlog 향기로운 봄 날의 일상 브이로그(과일요거트, 프라닭, 찹스테이크와 크림파스타 만들기, 호두크랜베리 손반죽 빵, 강서면옥 평양냉면)",67,2.0,8.0,513.0
83,2020/04/22 02:36:04,사회적 거리두기로 심심한 고3의 조용한 브이로그 vLOG,76,8.0,7.0,
84,2020/04/22 02:36:15,"빈짱 슬라임 작업실 브이로그, 랜덤크런치 소분하기, 스티커 그리기",4207,75.0,268.0,20000.0
85,2020/04/22 02:36:25,"ENG) 글루텐프리 다이어트 브이로그 / 학생 헬린이의 운동, 식단, 운동복과 아이허브 리뷰, Gluten Free Diet Vlog",231,6.0,11.0,1000.0
86,2020/04/22 02:36:35,브이로그 시청하셨나요?,315,0.0,43.0,20000.0
87,2020/04/22 02:36:47,"교회 초임 전도사 리트릿 브이로그, 내가 해야 될 일!?",340,3.0,18.0,197.0
88,2020/04/22 02:36:57,"[심장이식 1년 8개월 차] - 일상브이로그 vlog | 이번주도 집순이 | 모히토만들기, 불고기먹방, 공부",222,8.0,20.0,
89,2020/04/22 02:37:08,"VLOG / 공기업 직장인 브이로그 / 비오는 주말 / 운동, 드라이브, 책읽기, 편의점 카페, 벚꽃 보기 / 장교출신 직장인",32,0.0,5.0,671.0
90,2020/04/22 02:37:19,"첫 자취 브이로그 I 알리오 올리오 해먹고, 혜화당 만두먹고, 빨래한 날",31,8.0,7.0,1000.0
91,2020/04/22 02:37:29,"시설격리 브이로그, 격리시설에서 달고나커피 만들기 (feat. 새우탕커피) / 대전 격리시설, 국제지식재산연수원",483,12.0,21.0,729.0
92,2020/04/22 02:37:40,"vlog 대학교 4학년 브이로그(전액장학금, 통기타, 과제 등) | 다제로 필름 Dazero Film",128,12.0,13.0,894.0
93,2020/04/22 02:37:50,[육아브이로그] 7개월아기 촉감놀이 | 초보엄마아빠 육아일기 | 두부 촉감놀이 | parenting vlog | 7month old baby | sensory activities,75,4.0,,
94,2020/04/22 02:38:02,"공시생 브이로그 ""촤비"" 구독자 1000명 감사합니다 / 페이퍼 버튼 받았다(?) / 가족들 반응",242,8.0,12.0,1000.0
95,2020/04/22 02:38:20,"[Eng] Ep.4 일상브이로그 자투리영상 | 꽃, 가방, 베이컨말이에그토스트 | 언박싱 Beara Beara",137,50.0,39.0,233.0
96,2020/04/22 02:38:31,온라인 개학하고 집콕만 하는 일상 VLOG ( 브이로그 ) 🏡 /  민트초코 마카롱 만들기  /  머랭쿠키 만들기  /  딸기청 호로록 🍓  /  몰티져스,86,41.0,,852.0
97,2020/04/22 02:38:42,[직장인 브이로그 Vlog] 특명 내멋대로 하라. 출근부터 퇴근까지 화천군청 관광정책과 실제 일상,113,2.0,17.0,359.0
98,2020/04/22 02:38:52,"호치민 일상 브이로그 l 오레오,카레만들기,감자탕,망고스틴,롱안,gs편의점,공원산책,작업,짜파게티,양배추삶기 vlog",79,3.0,11.0,29.0
