,Now,Title,View,Coment,Like,Subscriber
101,2020/04/22 13:16:24,자유 물구나무 서는 방법 알려주는 레슨 브이로그!,65,2.0,5.0,2000.0
102,2020/04/22 13:23:49,"[먹방브이로그]불닭비빔면+유부초밥Mukbang/몰티져스아이스크림 (ft.불닭비빔면, 유부초밥, 몰티져스,명랑핫도그 맵구마,산본슈가링마카롱, gs25쟈댕커피,제육볶음,갤럭시노트10)",147,9.0,12.0,
103,2020/04/22 13:24:18,편의점 가는 길에 딸과의 이야기 브이로그 vlog 200420,40,5.0,11.0,2000.0
104,2020/04/22 13:24:42,[VLOG] 에어팟Pro 언박싱 브이로그 / 말 그대로 박스 열어보는 영상,166,24.0,17.0,775.0
105,2020/04/22 13:25:03,#66 여행다녀온 후 만난 고양이 / 고양이 임시보호 브이로그,81,4.0,12.0,3000.0
106,2020/04/22 13:25:24,ENG)cafe vlog| 카페 브이로그| 카페 봄봄🌼|카페 알바 브이로그| 음료 제조 영상,3217,47.0,231.0,2000.0
107,2020/04/22 13:25:45,사회적거리두기 브이로그/ 레트로장난감/ 연날리기/ 답답해서 바람쐬러 다녀왔어요. 파주 평화누리공원 방문기.,36,11.0,14.0,652.0
108,2020/04/22 13:26:05,유튜브 시작 이것만 있으면 나도 할 수 있다! 브이로그 카메라 캐논 g7x 마크3 + 외장 마이크 추천 Unboxing  (구매 꿀팁 & 주의사항),57,22.0,10.0,241.0
109,2020/04/22 13:26:27,"카페 브이로그, 로스팅,아인슈페너,그린티라떼,에스프레소,핸드드립(Michel's vlog)",54,6.0,7.0,91.0
110,2020/04/22 13:26:49,[VLOG] 제주도 브이로그/귤따고 놀고먹기,40,3.0,6.0,143.0
111,2020/04/22 13:27:07,비바댄스스튜디오 janekim 두번째 브이로그 ! :),220,9.0,35.0,10000.0
112,2020/04/22 13:27:27,20200421브이로그 ㅡ 한 농가 세단지 둘러보기,190,0.0,3.0,327.0
113,2020/04/22 13:27:46,"[육아맘 브이로그] 아기 키우는 엄마의 일상 브이로그, 토스트 해먹기, 육아 일기. 육아 is 뭔들",35,2.0,8.0,168.0
114,2020/04/22 13:28:07,크로스핏 브이로그 | 같이의 가치 | CrossFit Vlog,74,1.0,4.0,380.0
115,2020/04/22 13:28:25,"[심장이식 1년 8개월 차] - 일상브이로그 vlog | 이번주도 집순이 | 모히토만들기, 불고기먹방, 공부",257,9.0,25.0,
116,2020/04/22 13:28:45,온라인 수업 브이로그,484,12.0,,643.0
117,2020/04/22 13:29:04,"오카야마여행 3박4일브이로그2편, 오카야마여행12편,  ep73",64,0.0,21.0,97.0
118,2020/04/22 13:29:25,"임고생 브이로그ㅣ기출문제에 감정이입하는 브이로그, 작심하루 다이어트, 전공 스터디, 비오는 날에 카공ㅣStudy VLOG",137,20.0,9.0,105.0
119,2020/04/22 13:29:46,"[ 일상 vlog ] 소소한 일상 브이로그,강아지와 드라이브, 그리고 맛있는 아침식사 🥪",15,0.0,2.0,22.0
120,2020/04/22 13:30:12,29살 남자의 갓성비 데일리 옷장리뷰 브이로그,183,44.0,24.0,802.0
121,2020/04/22 13:30:31,"[뽀너스 영상] 까니짱의 먹방 vlog | 평범한 일상 먹방 브이로그 (불타는 고추짜장 🌶, 소고기, 길거리 토스트, 참외, 달래 된장찌개)",395957,1696.0,10000.0,2840000.0
122,2020/04/22 13:30:50,싱가포르 태교여행 🤰✈️ 뱃속에 콩콩이와 함께한 첫번째 여행 브이로그 singapore travel vlog,19,1.0,3.0,260.0
