,Now,Title,View,Coment,Like,Subscriber
59,2020/05/17 01:15:15,[일상브이로그] 뒷 테이블 사람한테 와인 얻어 마시는 ENFP의 삶 VLOG,13,2,3.0,
60,2020/05/17 01:15:36,[VLOG] 일상브이로그#10|산책|속눈썹펌👀|POLO🛍|함박🥘|셀픽스📸|카페☕️|선물언박싱🎁|소품샵🌈,33,7,3.0,13.0
61,2020/05/17 01:15:57,[Study Vlog] 고3 공부 브이로그/자사고 정시러의 하루,124,0,2.0,3.0
62,2020/05/17 01:16:20,"대학생의 온라인 개강 후 소소한 일상 브이로그ㅣvlogㅣ과제, 공부, 카페, 곱창",51,10,9.0,57.0
63,2020/05/17 01:16:45,하루종일 같이 다니는 사이좋은 아기고양이 두마리 [고양이 브이로그] Fall in love cat,27,14,16.0,137.0
64,2020/05/17 01:17:08,브이로그 홈 트레이닝. (내가 생각하는 최강의 식단 관리),17,0,3.0,79.0
65,2020/05/17 01:17:29,"[뉴핑쥬] 핑쥬의 저녁 VLOG | 브이로그 첨 찍는 핑쥬,, | 밥 먹구 공부하구 다이어리 구매한거 소개도 하구~",751,13,3.0,203.0
66,2020/05/17 01:17:49,도쿄 직장인 일상 브이로그 (집에서 퇴근 못하는 일주일)  |韓国人OLの東京日常| TOKYO VLOG,19,0,2.0,6.0
67,2020/05/17 01:18:08,"시골일상 + 집밥브이로그 _ 밭에 수도설치하기. 두릅과 만둣국해먹고 요거트, 파스타 해먹은 하루",229,0,,1000.0
68,2020/05/17 01:18:29,[Kristy Vlog] 가족 브이로그 라고 쓰고 별이와 함께 하는 삶이라고 읽는다,56,8,7.0,17.0
69,2020/05/17 01:18:49,월 500만원 프리랜서 계약직/ 40대 백수 브이로그/ 직장인 VLOG,60,0,6.0,
70,2020/05/17 01:20:16,"대학생 브이로그 | 시험이 가고 토익과 과제가 왔다. 본격 토익공부하는 브이로그(집에서 행복한 황금연휴보내기, 마라샹궈조지기, 오랜만에 건대 도서관에서 공부)",154,6,9.0,935.0
71,2020/05/17 01:20:41,오늘 나는 브이로그 도전했다가 실패를 했다.feat.스승님을 찾아서[2020.05.15일기장],4,0,1.0,261.0
72,2020/05/17 01:21:04,[VLOG] 뉴질랜드 간호사 / 캐논 G7X MARK3 언박싱 & 후기/ 브이로그카메라/ 출퇴근/일상,130,4,20.0,132.0
73,2020/05/17 01:21:26,엔터식스 어느 한 매장 직원의 출퇴근 브이로그 #07,62,11,6.0,39.0
74,2020/05/17 01:21:49,"[VLOG #03] 별거없는 브이로그  , 소소한 일상로그 ( 대학생 / 과제 / 잠실 / 송파 / 롯데타워 / 예쁜 카페 / 비오는 날 / 삼겹살 )",52,3,9.0,38.0
75,2020/05/17 01:22:11,제주 카페 카페우드노트 여행 브이로그 / 제주도 커플 여행 일상,5,2,4.0,304.0
76,2020/05/17 01:22:37,"21살이 친구랑 노는 브이로그 ,먹방 ,쇼핑 ,미아방지목걸이 ,vlog",141,1,6.0,2000.0
77,2020/05/17 01:23:00,[Vlog고딩의 직장브이로그] 직장브이로그/일상/전쏭포유/고딩/자퇴생/일하는/일상브이로그/Vlog/,28,6,6.0,81.0
78,2020/05/17 01:23:22,유나튜나 | 일상 | 브이로그 | CH.13 | 먹방 | 직장인 | 일상 | 브이로그 | 비숑 | 반려견 | 구디맛집,11,1,6.0,21.0
79,2020/05/17 01:23:44,영어 브이로그 | ep.04 코로나 마스크 비교체험! Which mask has the BEST quality??!,29,0,2.0,1000.0
80,2020/05/17 01:24:06,JURRLOG 🎂 일상 브이로그 / 생일 브이로그 / 을지로 오트렉 / 데일리룩,288,7,,160.0
81,2020/05/17 01:24:28,"[운전브이로그] 굿! 야경이 아름다운 코스, 구리암사~테크노마트 구간",19,0,0.0,1000.0
82,2020/05/17 01:24:50,#2 / 먹방브이로그 / 요거트 / 아이스크림 / 국밥 / 볶음너구리 / 크림빵 / 설빙,74,1,,
83,2020/05/17 01:25:10,비행 브이로그 | 1월의 샌프란시스코 | 3대 버거 인앤아웃 원조 블루보틀 슈퍼두퍼버거 클램차우더 그리고 바다사자 보기 | 겨울 아닌 봄 | 뒤죽박죽 승무원 브이로그,68,2,10.0,
84,2020/05/17 01:25:31,"신혼일기 | 마장동 소고기, 에어팟pro 리뷰,직장인 브이로그, 회사 회식, 신혼부부 브이로그",32,0,5.0,39.0
85,2020/05/17 01:25:51,"VLOG💚방콕 여행 브이로그💚 (쉐라톤 호텔, 페닌슐라 호텔,짜뚜짝 시장,딸랏롯파이,카오산로드,보이 샤넬 클러치)",86,8,4.0,10.0
86,2020/05/17 01:26:13,종로X익선동 브이로그 “비오는날의 오후”,15,0,1.0,1000.0
87,2020/05/17 01:26:32,[냥공불락 경시생 브이로그] D-15 /8421 8-Day01/ 시험직전 공부 기록/스터디 윗미/9h30m 스터디 타임랩스,130,0,7.0,87.0
88,2020/05/17 01:30:17,[VLOG]고3 남고생의 일상 브이로그| 스터디 브이로그| 맥도날드 |온라인 클래스💻📖,113,11,8.0,163.0
89,2020/05/17 01:30:44,20200516브이로그 ㅡ 참외하우스 10m 1동에 천오백만원? 이기 어떻게 합니까?,209,2,6.0,369.0
90,2020/05/17 01:31:06,"[VLOG] 마음만은 샌애긔인 4학년 브이로그 | 아이패드로 공부하기✍️,드디어 시작한 대학교 대면수업,리마인드 웨딩 촬영 👰, 카페투어와 요리하기 🍳",49,0,6.0,
91,2020/05/17 01:31:26,(임고생 브이로그) 아직 6개월이나 남았다니요.. 매일 같은 일상 반복되는 물리임고생 VLOG,61,1,2.0,80.0
92,2020/05/17 01:31:47,[VLOG] 연휴 내내 짠짠짠~하는 일상 /(일상브이로그/부천카페/봉떼르),18,0,2.0,31.0
93,2020/05/17 01:32:08,"Vlog : 데이트브이로그, 커플취미, 프리다이빙, 바베큐, k26, 가평1박2일, 커플브이로그",42,1,4.0,20.0
94,2020/05/17 01:32:30,출퇴근만 했는데 벌써 열흘이 지났더라고요 | 자취브이로그 (나는야 도시여자),68,4,8.0,155.0
95,2020/05/17 01:32:50,Vlog | 가볍게 찍은 브이로그가 N부작이 될 줄은 상상도 못했네💦 | 1탄,41,2,4.0,
96,2020/05/17 01:33:11,05월 15일 수험생일기- [함께 힘내요!]  아나운서 브이로그 (Korean News Anchor VLOG)],1,0,1.0,6.0
97,2020/05/17 01:33:32,로블록스A 브이로그 월요일에 찍을까요......,14,8,2.0,62.0
98,2020/05/17 01:33:53,"출산브이로그(vlog)15. 가장 보통의 조리원생활, 조리원24시, 평범한 조리원의 하루, 엄마승진",39,1,2.0,54.0
99,2020/05/17 01:34:15,[VLOG] 일상브이로그#10|산책|속눈썹펌👀|POLO🛍|함박🥘|셀픽스📸|카페☕️|선물언박싱🎁|소품샵🌈,34,7,3.0,13.0
