,Now,Title,View,Coment,Like,Subscriber
66,2020-04-26 16:51,트수 + 사이 성불 ㅋㅋㅋ 훈수가 빗발치는 '갓' 게임 【고스트 바둑왕】,32905,83,457,233000
67,2020-04-26 16:51,토요일 급 생방송 솔로게임에 관한 이야기,840,4,42,2800
68,2020-04-26 16:52,[제5인격] 정말 잘하는 카우보이 랭커🤠와 같이 게임했습니다,1954,28,154,5830
69,2020-04-26 16:52,"심수창, 이대형 썰) 야구 인생 밸런스 게임 & 미니 은퇴식",7207,54,281,18600
70,2020-04-26 16:52,"'초침을 깨물다' 커버곡 , RAS 게임 내 추가 소식 정리 [뱅드림][하로하피서클 방송국 34회]",2608,53,101,7320
71,2020-04-26 16:52,🐸🐾 톰슨의 생존게임 [Green Hell],1982,0,62,163000
72,2020-04-26 16:52,리니지2m 4/25일 먹방게임유튜버 이회장입니다.,10745,0,460,11300
73,2020-04-26 16:53,대박! 슈퍼핫 느낌의 VR리듬게임?! 완전 멋있음ㅋㅋ [피스톨윕 / 혼합현실],6346,240,229,119000
74,2020-04-26 16:53,진짜 노답게임 ㅋㅋㅋㅋ,794,104,35,1930
75,2020-04-26 16:53,GEN vs T1 Game 1 Highlights LCK PLAYOFFS FINALS - GENG vs SKT T1 Game 1 Highlights LCK PLAYOFFS FINA,137856,143,1200,249000
76,2020-04-26 16:53,GEN vs T1 Game 2 Highlights LCK PLAYOFFS FINAL - GENG vs SKT T1 Game 2 Highlights LCK PLAYOFFS FINAL,111111,117,904,249000
77,2020-04-26 16:53,"""대마법사 폭풍의낙인"" 장비맞추는 게임 패스오브엑자일 pathofexile",4313,0,24,15300
78,2020-04-26 16:54,차분하게 게임하는 영상 【 햇살살의 블러드본 하이라이트 】,523,28,79,11600
79,2020-04-26 16:54,[KPOP GAME] CAN YOU GUESS 30 KPOP SONGS BY ONE SOUND,17458,55,1200,111000
80,2020-04-26 16:54,T1 vs Gen.G Game 3 Full - LCK Spring 2020 Playoffs GRAND FINAL - T1 vs GEN G3,32495,66,376,231000
81,2020-04-26 16:54,매스 이펙트 게 섰거라! 미니멀 어펙트가 온다 외 | 게임 헤드라인,4499,43,288,18600
82,2020-04-26 16:54,오버워치💕신규 첫3일차ㅣ 종합게임 전문,272,0,10,1370
83,2020-04-26 16:55,여캠에서 게임비제이로...힘들었던 지난 날들 이제는 웃을 수 있습니다.,5669,43,350,12400
